data_lancamento,nome_artistico,nome_artista,qtd_artistas,qtd_playlists_spotify,qtd_destaques_spotify,qtd_transmissoes,qtd_playlists_apple,qtd_destaques_apple,qtd_playlists_deezer,qtd_destques_deezer,qtd_destaues_shazam,batidas_por_minuto,modo,acustica_%,instrumentalidade_%
2021-10-22,PROBLEMÏ¿½,"ALVARO DIAZ, RAUW ALEJANDRO",2,1517,0,209768491.0,42,7,15.0,0,4.0,92,MINOR,28,0
2022-02-11,BUSSIN,"NICKI MINAJ, LIL BABY",2,847,0,64714573.0,25,0,14.0,0,0.0,140,MAJOR,6,0
2022-02-11,WORST DAY,FUTURE,1,910,0,50746620.0,20,3,24.0,0,0.0,89,MAJOR,11,0
2022-01-28,MALVADA,ZÏ¿½Ï¿½ FE,1,601,0,154119539.0,28,73,64.0,0,0.0,135,MINOR,16,0
2021-11-19,HRS AND HRS,MUNI LONG,1,1800,0,181328253.0,43,36,46.0,13,4.0,140,MINOR,60,0
2015-07-24,ALIEN BLUES,VUNDABAR,1,1930,0,370068639.0,3,0,28.0,0,1.0,82,MAJOR,8,91
2014-01-01,THINKING OUT LOUD,ED SHEERAN,1,33032,0,2280566092.0,363,129,3.895,0,28.0,79,MAJOR,47,0
2019-10-04,STILL DON'T KNOW MY NAME,LABRINTH,1,6332,0,563902868.0,47,116,266.0,0,0.0,88,MAJOR,47,27
2021-12-24,CHRISTMAS TREE,V,1,509,9,317622165.0,8,106,6.0,0,8.0,139,MAJOR,70,0
2022-01-14,MAL FEITO - AO VIVO,"MARÏ¿½Ï¿½LIA MENDONÏ¿½Ï¿½A, HUGO & G",2,971,2,291709698.0,35,104,93.0,1,0.0,124,MINOR,55,0
2019-10-04,WHEN I R.I.P.,LABRINTH,1,2578,0,203680270.0,8,67,66.0,0,0.0,80,MINOR,73,0
2022-02-04,DO WE HAVE A PROBLEM?,"NICKI MINAJ, LIL BABY",2,1064,0,81350745.0,42,1,26.0,0,0.0,120,MINOR,47,0
2019-10-04,FOREVER,LABRINTH,1,3618,0,282883169.0,21,86,138.0,0,2.0,80,MINOR,92,72
2022-02-04,GOSPEL (WITH EMINEM),"EMINEM, DR. DRE",2,1040,0,64787943.0,8,0,29.0,0,0.0,117,MAJOR,11,0
